4.3, 4.6, 7.4, 10.7, 14.3, 17.7, 19.80, 19.4, 16.4, 12.6, 7.9, 4.8
1.7, 1.4, 3.2, 5.8, 9.5, 12.8, 15, 14.6, 11.9, 9.2, 5.1, 2.3
6.9, 8.1, 11.6, 15.2, 18.6, 22.1, 24.2, 24, 20.9, 16.4, 10.7, 7.5
6.9, 8.1, 11.6, 15.2, 18.6, 22.1, 24.2, 24, 20.9, 16.4, 10.7, 7.5
57, 52, 53, 56, 69, 63, 60, 60, 51, 65, 64, 70
12, 11, 11, 11, 12, 11, 10, 9, 8, 11, 11, 13
